73	VQ83	7	10	217	220	8	11	218	221	2
74	VQ83	13	16	223	226	14	17	224	227	2
75	VQ83	19	22	229	232	20	23	230	233	2
76	VQ83	31	34	241	244	32	35	242	245	2
77	VQ83	37	40	247	250	38	41	248	251	2
78	VQ83	43	46	253	256	44	47	254	257	2
79	VQ83	55	58	265	268	56	59	266	269	2
80	VQ83	61	64	271	274	62	65	272	275	2
81	VQ83	67	70	277	280	68	71	278	281	2
82	VQ83	79	82	289	292	80	83	290	293	2
83	VQ83	85	88	295	298	86	89	296	299	2
84	VQ83	91	94	301	304	92	95	302	305	2
85	VQ83	27	98	97	25	30	101	100	28	2
86	VQ83	33	104	103	31	36	107	106	34	2
87	VQ83	39	110	109	37	42	113	112	40	2
88	VQ83	45	116	115	43	48	119	118	46	2
89	VQ83	51	122	121	49	54	125	124	52	2
90	VQ83	57	128	127	55	60	131	130	58	2
91	VQ83	63	134	133	61	66	137	136	64	2
92	VQ83	69	140	139	67	72	143	142	70	2
93	VQ83	75	146	145	73	78	149	148	76	2
94	VQ83	81	152	151	79	84	155	154	82	2
95	VQ83	87	158	157	85	90	161	160	88	2
96	VQ83	93	164	163	91	96	167	166	94	2
97	VQ83	3	170	169	1	6	173	172	4	2
98	VQ83	9	176	175	7	12	179	178	10	2
99	VQ83	15	182	181	13	18	185	184	16	2
100	VQ83	21	188	187	19	24	191	190	22	2
101	VQ83	74	77	193	196	75	78	194	197	2
102	VQ83	80	83	199	202	81	84	200	203	2
103	VQ83	86	89	205	208	87	90	206	209	2
104	VQ83	92	95	211	214	93	96	212	215	2
105	VQ83	243	314	313	241	246	317	316	244	2
106	VQ83	249	320	319	247	252	323	322	250	2
107	VQ83	255	326	325	253	258	329	328	256	2
108	VQ83	261	332	331	259	264	335	334	262	2
109	VQ83	267	338	337	265	270	341	340	268	2
110	VQ83	273	344	343	271	276	347	346	274	2
111	VQ83	279	350	349	277	282	353	352	280	2
112	VQ83	285	356	355	283	288	359	358	286	2
113	VQ83	291	362	361	289	294	365	364	292	2
114	VQ83	297	368	367	295	300	371	370	298	2
115	VQ83	303	374	373	301	306	377	376	304	2
116	VQ83	309	380	379	307	312	383	382	310	2
117	VQ83	219	386	385	217	222	389	388	220	2
118	VQ83	225	392	391	223	228	395	394	226	2
119	VQ83	231	398	397	229	234	401	400	232	2
120	VQ83	237	404	403	235	240	407	406	238	2
121	VQ83	290	293	409	412	291	294	410	413	2
122	VQ83	296	299	415	418	297	300	416	419	2
123	VQ83	302	305	421	424	303	306	422	425	2
124	VQ83	308	311	427	430	309	312	428	431	2
125	VQ83	2	97	99	3	5	100	102	6	2
126	VQ83	8	103	105	9	11	106	108	12	2
127	VQ83	14	109	111	15	17	112	114	18	2
128	VQ83	20	115	117	21	23	118	120	24	2
129	VQ83	26	121	123	27	29	124	126	30	2
130	VQ83	32	127	129	33	35	130	132	36	2
131	VQ83	38	133	135	39	41	136	138	42	2
132	VQ83	44	139	141	45	47	142	144	48	2
133	VQ83	50	145	147	51	53	148	150	54	2
134	VQ83	56	151	153	57	59	154	156	60	2
135	VQ83	62	157	159	63	65	160	162	66	2
136	VQ83	68	163	165	69	71	166	168	72	2
137	VQ83	218	313	315	219	221	316	318	222	2
138	VQ83	224	319	321	225	227	322	324	228	2
139	VQ83	230	325	327	231	233	328	330	234	2
140	VQ83	236	331	333	237	239	334	336	240	2
141	VQ83	242	337	339	243	245	340	342	246	2
142	VQ83	248	343	345	249	251	346	348	252	2
143	VQ83	254	349	351	255	257	352	354	258	2
144	VQ83	260	355	357	261	263	358	360	264	2
145	VQ83	266	361	363	267	269	364	366	270	2
146	VQ83	272	367	369	273	275	370	372	276	2
147	VQ83	278	373	375	279	281	376	378	282	2
148	VQ83	284	379	381	285	287	382	384	288	2
149	VQ83	98	101	314	317	99	102	315	318	2
150	VQ83	104	107	320	323	105	108	321	324	2
151	VQ83	110	113	326	329	111	114	327	330	2
152	VQ83	116	119	332	335	117	120	333	336	2
153	VQ83	122	125	338	341	123	126	339	342	2
154	VQ83	128	131	344	347	129	132	345	348	2
155	VQ83	134	137	350	353	135	138	351	354	2
156	VQ83	140	143	356	359	141	144	357	360	2
157	VQ83	146	149	362	365	147	150	363	366	2
158	VQ83	152	155	368	371	153	156	369	372	2
159	VQ83	158	161	374	377	159	162	375	378	2
160	VQ83	164	167	380	383	165	168	381	384	2
161	VQ83	170	173	386	389	171	174	387	390	2
162	VQ83	176	179	392	395	177	180	393	396	2
163	VQ83	182	185	398	401	183	186	399	402	2
164	VQ83	188	191	404	407	189	192	405	408	2
165	VQ83	194	197	410	413	195	198	411	414	2
166	VQ83	200	203	416	419	201	204	417	420	2
167	VQ83	206	209	422	425	207	210	423	426	2
168	VQ83	212	215	428	431	213	216	429	432	2
