1,0	0,0599	0,0336	-0,122
2,0	0,9052	0,0336	-1,124
3,0	0,4094	0,4599	-0,684
4,0	0,0971	0,0445	-0,090
5,0	0,9425	0,0445	-1,092
6,0	0,4467	0,4708	-0,653
7,0	0,0599	1,0581	-0,122
8,0	0,9052	1,0581	-1,124
9,0	0,4094	1,4844	-0,684
10,0	0,0971	1,069	-0,090
11,0	0,9425	1,069	-1,092
12,0	0,4467	1,4953	-0,653
13,0	0,0599	2,0826	-0,122
14,0	0,9052	2,0826	-1,124
15,0	0,4094	2,5089	-0,684
16,0	0,0971	2,0935	-0,090
17,0	0,9425	2,0935	-1,092
18,0	0,4467	2,5198	-0,653
19,0	0,0599	3,1071	-0,122
20,0	0,9052	3,1071	-1,124
21,0	0,4094	3,5334	-0,684
22,0	0,0971	3,118	-0,090
23,0	0,9425	3,118	-1,092
24,0	0,4467	3,5444	-0,653
25,0	1,1329	0,0336	-1,273
26,0	2,3889	0,0336	-1,648
27,0	1,7336	0,4599	-1,552
28,0	1,1468	0,0445	-1,226
29,0	2,4029	0,0445	-1,601
30,0	1,7475	0,4708	-1,505
31,0	1,1329	1,0581	-1,273
32,0	2,3889	1,0581	-1,648
33,0	1,7336	1,4844	-1,552
34,0	1,1468	1,069	-1,226
35,0	2,4029	1,069	-1,601
36,0	1,7475	1,4953	-1,505
37,0	1,1329	2,0826	-1,273
38,0	2,3889	2,0826	-1,648
39,0	1,7336	2,5089	-1,552
40,0	1,1468	2,0935	-1,226
41,0	2,4029	2,0935	-1,601
42,0	1,7475	2,5198	-1,505
43,0	1,1329	3,1071	-1,273
44,0	2,3889	3,1071	-1,648
45,0	1,7336	3,5334	-1,552
46,0	1,1468	3,118	-1,226
47,0	2,4029	3,118	-1,601
48,0	1,7475	3,5444	-1,505
49,0	2,6611	0,0336	-1,648
50,0	3,9172	0,0336	-1,273
51,0	3,3165	0,4599	-1,552
52,0	2,6471	0,0445	-1,601
53,0	3,9032	0,0445	-1,226
54,0	3,3025	0,4708	-1,505
55,0	2,6611	1,0581	-1,648
56,0	3,9172	1,0581	-1,273
57,0	3,3165	1,4844	-1,552
58,0	2,6471	1,069	-1,601
59,0	3,9032	1,069	-1,226
60,0	3,3025	1,4953	-1,505
61,0	2,6611	2,0826	-1,648
62,0	3,9172	2,0826	-1,273
63,0	3,3165	2,5089	-1,552
64,0	2,6471	2,0935	-1,601
65,0	3,9032	2,0935	-1,226
66,0	3,3025	2,5198	-1,505
67,0	2,6611	3,1071	-1,648
68,0	3,9172	3,1071	-1,273
69,0	3,3165	3,5334	-1,552
70,0	2,6471	3,118	-1,601
71,0	3,9032	3,118	-1,226
72,0	3,3025	3,5444	-1,505
73,0	4,1448	0,0336	-1,124
74,0	4,9902	0,0336	-0,122
75,0	4,6406	0,4599	-0,684
76,0	4,1075	0,0445	-1,092
77,0	4,9529	0,0445	-0,090
78,0	4,6033	0,4708	-0,653
79,0	4,1448	1,0581	-1,124
80,0	4,9901	1,0581	-0,122
81,0	4,6406	1,4844	-0,684
82,0	4,1075	1,069	-1,092
83,0	4,9529	1,069	-0,090
84,0	4,6033	1,4953	-0,653
85,0	4,1448	2,0826	-1,124
86,0	4,9902	2,0826	-0,122
87,0	4,6406	2,5089	-0,684
88,0	4,1075	2,0935	-1,092
89,0	4,9529	2,0935	-0,090
90,0	4,6033	2,5198	-0,653
91,0	4,1448	3,1071	-1,124
92,0	4,9901	3,1071	-0,122
93,0	4,6406	3,5334	-0,684
94,0	4,1075	3,118	-1,092
95,0	4,9529	3,118	-0,090
96,0	4,6033	3,5444	-0,653
97,0	1,0082	0,0524	-1,215
98,0	1,6088	0,4787	-1,494
99,0	0,5124	0,4787	-0,776
100,0	1,0349	0,0414	-1,174
101,0	1,6356	0,4678	-1,453
102,0	0,5391	0,4678	-0,735
103,0	1,0082	1,0769	-1,215
104,0	1,6088	1,5032	-1,494
105,0	0,5124	1,5032	-0,776
106,0	1,0349	1,0659	-1,174
107,0	1,6356	1,4923	-1,453
108,0	0,5391	1,4923	-0,735
109,0	1,0082	2,1014	-1,215
110,0	1,6088	2,5277	-1,494
111,0	0,5124	2,5277	-0,776
112,0	1,0349	2,0905	-1,174
113,0	1,6356	2,5168	-1,453
114,0	0,5391	2,5168	-0,735
115,0	1,0082	3,1259	-1,215
116,0	1,6088	3,5522	-1,494
117,0	0,5124	3,5522	-0,776
118,0	1,0349	3,115	-1,174
119,0	1,6356	3,5413	-1,453
120,0	0,5391	3,5413	-0,735
121,0	2,525	0,0524	-1,667
122,0	3,1804	0,4787	-1,572
123,0	1,8696	0,4787	-1,572
124,0	2,525	0,0414	-1,619
125,0	3,1804	0,4678	-1,523
126,0	1,8696	0,4678	-1,523
127,0	2,525	1,0769	-1,667
128,0	3,1804	1,5032	-1,572
129,0	1,8696	1,5032	-1,572
130,0	2,525	1,0659	-1,619
131,0	3,1804	1,4923	-1,523
132,0	1,8696	1,4923	-1,523
133,0	2,525	2,1014	-1,667
134,0	3,1804	2,5277	-1,572
135,0	1,8696	2,5277	-1,572
136,0	2,525	2,0905	-1,619
137,0	3,1804	2,5168	-1,523
138,0	1,8696	2,5168	-1,523
139,0	2,525	3,1259	-1,667
140,0	3,1804	3,5522	-1,572
141,0	1,8696	3,5522	-1,572
142,0	2,525	3,115	-1,619
143,0	3,1804	3,5413	-1,523
144,0	1,8696	3,5413	-1,523
145,0	4,0419	0,0524	-1,215
146,0	4,5377	0,4787	-0,776
147,0	3,4412	0,4787	-1,494
148,0	4,0151	0,0414	-1,174
